годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,,vospitanie-rebenka,,,177728,,"педагогическая теория и нормативка в ключах (цель, содержание, средства, «воспитание ребенка рф»); тема закрыта статьёй vospitanie-detey-v-seme"
да,После расставания: что происходит с нами и что помогает,posle-rasstavaniya,Отношения,/artterapy,105594,после расставания · боль после расставания · тяжело после расставания · плохо после расставания · чувство после расставания · как вести себя после расставания · время после расставания · советы после расставания · как после расставания перестать · общаться после расставания · ребенок после расставания · сделать после расставания,
нет,,perehodnyy-vozrast,,,98000,,"кино и концерт: «в хорошем качестве», «онлайн бесплатно», «2026», «концерт», «спектакль»"
нет,,psihologicheskiy-rebenok,,,46047,,"склейка лемматизатора плюс поиск услуги: «диагностика ребенка психолог», «отчет психолога о работе с ребенком»"
да,Закрыть гештальт: что это значит и зачем это вообще нужно,zakroy-geshtalt,Словарь,/artterapy,37977,закрой гештальт · закроем гештальт что это значит · закроем гештальт что это простыми · незакрытый гештальт · незаконченный гештальт,
нет,,u-detey-bez-simptomov,,,34887,,"склейка лемматизатора, темы под ней нет"
нет,,izbegayuschaya-privyazannost,,,33389,,дубль существующей статьи izbegayuschaya-privyazannost-v-otnosheniyah
нет,,sereznye-otnosheniya-s-muzhchinoy,,,27351,,"сайты знакомств: «бесплатная регистрация», «сайт для», «где познакомиться»"
нет,,emotsionalnoe-vygoranie,,,25440,,дубль существующих vygoranie и kak-ponyat-chto-u-tebya-vygoranie
нет,,muzhchina-v-otnosheniyah-s-zhenschinoy,,,22625,,"склейка: гороскопы, абьюзер, нарцисс и знакомства в одном мешке; тема закрыта kak-ponyat-otnosheniya-s-muzhchinoy"
нет,,trevozhnaya-privyazannost,,,20078,,дубль существующей статьи trevozhnaya-privyazannost-v-otnosheniyah
да,Что чувствует мужчина после расставания на самом деле,muzhchina-posle-rasstavaniya,Отношения,/artterapy,18741,мужчина после расставания · как ведут себя мужчины после расставания · психология мужчины после расставания · чувства мужчин после расставания · мужчина пишет после расставания · бывший мужчина после расставания · мужчина после расставания с любимой · мужчины после расставания по его инициативе · сильный мужчина после расставания · вернется ли мужчина после расставания · мужчина месяц после расставания,
нет,,poslerodovaya-depressiya,,,17802,,"дубль depressiya-posle-rodov, в ключах лечение и антидепрессанты"
нет,,perezhitoe-rasstavanie,,,17747,,"склейка: фильмы и песни («расставание 1984», «расставание онлайн бесплатно», «расставание петь»)"
нет,,emotsionalnye-otnosheniya,,,17495,,"пустая склейка, всего два ключа, статьи из этого не вырастает"
да,Жизнь после депрессии: как возвращаться к себе и к силам,depressiya-posle-depressii,Психология,/online,16844,жизнь после депрессии · состояние после депрессии · люди после депрессии · депрессия после стресса · депрессия после развода · депрессия прошла · депрессия после отпуска,
да,Воспитание ребёнка по возрастам: что важно на каждом этапе,vospitanie-rebenka-vozrastu,Детская психология,/artterapy,16527,воспитание ребенка возрасту · воспитание ребенка раннего возраста · воспитание ребенка школьного возраста · задачи воспитания ребенка раннего возраста · воспитание ребенка различного возраста · возраст воспитания самостоятельности ребенка,
да,"Буллинг в школе: как понять, что ребёнку плохо, и помочь",bulling-v-shkole,Детская психология,/artterapy,15853,буллинг в школе · буллинг детей в школе · буллинг подростков в школе · жертвы буллинга в школе · травля и буллинг в школе · буллинг родителей в школе · социальный буллинг в школе · после буллинга в школе · истории буллинга в школе · буллинг в школе психологи,
нет,,vospitanie-rebenka-roditelyami,,,15716,,"юридическая нормативка: «право родителя на воспитание», «неисполнение обязанностей по воспитанию»"
да,Истерика у ребёнка: что делать в моменте и что — потом,isterika-u-rebenka,Детская психология,/artterapy,15277,истерика у ребенка · как успокоить истерику у ребенка · у ребенка сильная истерика · у ребенка постоянная истерика · истерики у ребенка 2 года · истерики у ребенка 3 года · истерики у ребенка 5 лет · у ребенка истерика по любому поводу · истерика у ребенка перед сном · у ребенка часто истерики · у ребенка начались истерики,
нет,,chuvstvo-trevogi,,,15134,,дубль kak-spravitsya-s-trevogoy и prichiny-chuvstvo-trevogi; в ключах лечение и антидепрессанты
да,Когнитивные искажения: как мышление обманывает нас каждый день,kognitivnye-iskazheniya,Психология,/artterapy,14713,когнитивные искажения · когнитивные искажения примеры · когнитивные искажения мышления · когнитивное искажение это простыми · когнитивные искажения в психологии · когнитивные искажения список · когнитивное искажение восприятия · механизм когнитивного искажения · когнитивные искажения человека · эмоциональное когнитивное искажение,
нет,,rozhdenie-vospitanie-rebenka,,,14329,,склейка плюс выплаты при рождении ребёнка — нормативка
нет,,programma-vospitaniya-detey,,,14104,,"педагогическая нормативка: рабочие программы, ДОУ, ОВЗ"
нет,,rossiyskoe-vospitanie-detey,,,13633,,"идеологическая и нормативная тема, не про нашу читательницу"
нет,,chuvstvo-straha,,,13400,,"дубль prichiny-straha и kak-izbavitsya-ot-straha, своих ключей почти нет"
нет,,otnoshenie-prichiny,,,12830,,склейка лемматизатора («отношение причины»)
нет,,emotsionalnye-kacheli,,,12765,,дубль существующей статьи emocionalnye-kacheli-v-otnosheniyah
нет,,glubokaya-privyazannost,,,12764,,"сериал: «озвучка», «русская озвучка», «все серии», «сколько серий»"
да,Вернуться к бывшему: стоит ли пробовать всё заново,otnosheniya-s-byvshim-muzhchinoy,Отношения,/artterapy,12484,отношения с бывшим мужчиной · новые отношения с бывшим мужчиной · как начать отношения с бывшим мужчиной · как строить отношения с бывшим мужчиной · вернуть бывшие отношения с мужчиной · вернется ли бывший после расставания · вернется ли он ко мне после расставания,
нет,,god-otnosheniy-s-muzhchinoy,,,12453,,"склейка: «год без отношений», «мужчина моложе на год» — единой темы нет"
нет,,rasstavanie-s-devushkoy,,,11908,,"мужская аудитория, мы пишем для женщины"
нет,,rasstavaniya-pochemu,,,11787,,"эзотерика в ключах (аркан, матрица совместимости) и сплетни о звёздах"
нет,,bez-trevozhnost,,,11552,,"препараты: «успокоительное без рецепта», «тревожность без антидепрессантов»"
нет,,rasstavanie-s-parnem,,,10974,,"сонник и видео, своей темы нет; расставание закрыто kak-perezhit-rasstavanie"
нет,,effekt-danninga-kryugera,,,10370,,дубль словарной статьи slovar-effekt-danninga-kryugera
нет,,povyshennaya-trevozhnost,,,10158,,"дубль povyshennaya-trevozhnost-u-vzroslyh, в ключах «лечение» и «к какому врачу»"
нет,,zaschitnye-mehanizmy-2,,,9972,,"дубль существующей статьи zaschitnye-mehanizmy, в ключах мусор (каски, розетки, шторки)"
нет,,vospitanie-detey-otvety,,,9795,,юридическая ответственность за воспитание плюс запрос готовых ответов на тест
нет,,povyshennaya-samootsenka,,,9733,,по ключам это «как повысить самооценку» — дубль kak-povysit-samoocenku
