годна,заголовок,slug,категория,cta,частота,ключи,причина_отказа
нет,,,,,115684,усну 2026,"склейка лемматизатора: «взносы по усну», «уснувший пассажир 1993» — годы и обрывки, запроса как такового нет"
нет,,,,,29211,сон 2026,"годы и фильмы («сон 1987», «сны поездов»); тема сна закрыта 13 статьями, включая pochemu-snyatsya-sny и rezhim-sna"
нет,,,,,7115,список дел 2023,годы и списки абитуриентов лечебного дела; живое закрыто spisok-del и planirovanie-celey
нет,,,,,5832,призвание 2026,"навигационный: колледж «Призвание» в Нальчике, списки поступивших и премия; про поиск себя есть kak-najti-sebya и smena-professii-vzroslym"
нет,,,,,3857,сила воли 2016,фильмы по годам; тема закрыта sila-voli и samodisciplina
нет,,,,,3638,профориентация 2026,"школьная нормативка: единая модель профориентации, профориентация в школе"
нет,,,,,3591,привычка 2023,"кино и сериалы («Привычка жениться», «Сестрички-привычки»); закрыто kak-sformirovat-privychku, poleznye-privychki, kak-izbavitsya-ot-vrednoy-privychki"
нет,,,,,1246,медитация 2026,англоязычная музыка для сна и ошибка Guru Meditation у эмуляторов; медитации закрыты восемью статьями
нет,,,,,857,психология цветов одежды,«психология цвета в одежде» дублирует psihologiya-cveta с разделом «Гардероб как индикатор»; хвост про вес и внешность — prinyatie-tela и socseti-i-samoocenka
нет,,,,,441,психология богатства,закрыто otnoshenie-k-dengam и strah-bezdenezhya; хвост «богатство» тянет к привлечению денег — падает на эзо-фильтре
нет,,,,,299,поставить цели на год на работе,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; сюда же корпоративные «цели развития на год»"
нет,,,,,299,стыдно перед мужем,"закрыто stydno-pered-chelovekom, stydno-za-sebya и kak-spravitsya-so-stydom; «стыдно перед детьми» — chuvstvo-viny-pered-rebenkom"
нет,,,,,299,полюби себя сильней,"песни и книги («Полюби себя» Стоун, «просто полюби себя»); закрыто kak-prinyat-i-polyubit-sebya"
нет,,,,,299,этапы кризисов возраста,"вузовская периодизация по Выготскому и Эльконину; женская версия закрыта krizis-srednego-vozrasta, мужская — krizis-srednego-vozrasta-u-muzha"
нет,,,,,299,юри плохих мыслей,манхва «Дневник плохих мыслей» плюс молитвы; живое закрыто navyazchivye-mysli и kak-izbavitsya-ot-trevozhnosti-i-navyazchivyh-mysley
нет,,,,,299,темперамент задания огэ,"сборный мусор кластера: задания ОГЭ, курсовые, промокоды на антиплагиат, «тревожный чемоданчик», сериалы"
нет,,,,,299,гора мак кинли на карте северной америки,омоним МАК-карт: гора Мак-Кинли на карте Северной Америки
нет,,,,,298,желаю всегда достигать поставленных целей,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,298,человек достигший значимой цели,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; плюс поздравления «желаю достигать целей»"
нет,,,,,298,конкретными возможностями достижения цели,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; хвост — «слова-пароли для достижения цели», эзотерика"
нет,,,,,298,легкий способ переедание,"Аллен Карр и медицина; заедание закрыто zaedanie-emocij, kak-perestat-est-ot-skuki и rasstroystvo-pishchevogo-povedeniya"
нет,,,,,298,символ женского начала,телешоу «Мужское/Женское» и кроссворды («женское начало 3 буквы»)
нет,,,,,298,целый город нет,"склейка «целый/цель/нет»: «целый день нет дома», «ноль это целое число»; про отсутствие цели есть net-celi"
нет,,,,,298,сложно выражать чувства,"школьная грамматика: междометия и вводные слова, выражающие чувства; живое закрыто kak-perestat-podavlyat-emocii (раздел «Вернуть себе словарь»), podavlenie-emociy и slovar-aleksitimiya"
нет,,,,,297,средства достижения целей в политике,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; политика и СВО"
нет,,,,,297,задача цель которую необходимо достичь,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,297,повышенная тревожность лечение,"лечение, шкалы и опросники — запрет ТЗ; состояние закрыто povyshennaya-trevozhnost-u-vzroslyh, prichiny-trevozhnosti, trevozhnost-v-grudi"
нет,,,,,297,возможные цели на год,"цели ДОУ, классного руководителя и школьника; личное закрыто celi-na-god и celi-na-novyy-god"
нет,,,,,296,действия направленные на достижения общих целей,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,296,пристрой одежды шопоголик,совместные покупки и романы Софи Кинселлы; покупки как разрядка закрыты impulsivnye-pokupki
нет,,,,,296,бюджет мужа общий,налоги и бухгалтерия; семейный бюджет закрыт dengi-v-otnosheniyah (раздел «Три уклада и что каждый делает с близостью»)
да,Не могу заставить себя заниматься спортом: что мешает начать,kak-zastavit-sebya-zanimatsya-sportom,Цели и развитие,/coach,296,как заставить себя заниматься спортом · как заставить себя заниматься спортом в домашних · как заставить себя бегать · как заставить себя ходить · как заставить себя похудеть психология · не могу заставить себя тренироваться · нет сил на спорт после работы · бросаю тренировки через неделю,
нет,,,,,296,чувство в другом теле,закрыто prozhit-emocii — там раздел «Почему чувства живут в теле» и упражнение «Эмоция в теле»; телесная часть — psihosomatika
нет,,,,,295,педагогическая цель на учебный год,школьная нормативка: цели педагога и класса на учебный год
нет,,,,,295,в этой жизни нет смысла текст,"закрыто ekzistencialnyy-krizis, apatiya, chuvstvo-opustoshennosti, slovar-angedoniya; хвост — сервисы переписывания текста"
нет,,,,,295,снятие эмоционального стресса,"порнохвост и «игрушка для снятия стресса»; закрыто snyatie-stressa, koping-strategii, stressoustoychivost"
нет,,,,,295,ново бессонница,"молитвы, корвалол, настойки и рецепты — лечение; закрыто bessonnica-prichiny и trevozhnaya-bessonnica"
нет,,,,,295,эмоциональное выгорание водопьянова,"методика Водопьяновой, курсы и презентации; выгорание закрыто 15 статьями, «выгорел муж» — разделом в muzh-ne-hochet-rabotat"
нет,,,,,295,родители ничего не хотят делать,"склейка «нет желания»: от «нет воды целый день» до песен; состояние закрыто apatiya, prichiny-apatii, ne-hochu-rabotat, ne-hochu-obschatsya"
нет,,,,,294,достичь поставленной цели необходимо,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,294,признание самоценности,философская формулировка «признание самоценности личности»; живое закрыто samocennost
нет,,,,,294,проблема переедания,"медицина: мезим, панкреатин, отрыжка, вздутие, переедание у котов; психологическая часть — zaedanie-emocij"
нет,,,,,294,мучает чувство вины,"закрыто chuvstvo-viny; вина после смерти близкого разобрана разделом «Вина выжившей» в kak-perezhit-smert-mamy и в kak-prostit-sebya, вина перед бывшим — initsiativa-rasstavaniya"
нет,,,,,293,место проживания ребенка после развода,юридический запрос про место жительства ребёнка; «как отпустить человека» закрыто ne-mogu-otpustit-cheloveka и kak-zabyt-cheloveka
нет,,,,,293,страх контролировать все,закрыто giperkontrol и lokus-kontrolya; «страх потерять контроль» как признак паники — kak-spravitsya-s-panikoy
нет,,,,,292,как мотивировать детей на уроке,педагогика и управление персоналом; личная мотивация закрыта kak-povysit-motivaciyu
нет,,,,,291,как написать цель поставлена,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,291,не нравится как я себя веду,порнохвост («индивидуалка примет у себя») плюс закрыто kak-prinyat-i-polyubit-sebya и vnutrenniy-kritik
нет,,,,,291,день женственности,"курсы женственности, Сатья, книга «Очарование женственности», порно; психологическая часть закрыта zhenskie-arhetipy"
нет,,,,,291,цели на два месяца,"OKR, бизнес-коучинг и «как пишется слово не сдаваться» — склейка"
нет,,,,,290,целью можно поставить достижение,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; школьные задачки про Ирину и Алису"
нет,,,,,290,и помогает восстанавливать силы,"квесты Horizon («восстановите подачу энергии»); закрыто hronicheskaya-ustalost, kak-vosstanovit-resurs, zabota-o-sebe-dlya-zhenshchiny"
нет,,,,,289,метод достижения цели кроссворд 6 букв ответ,кроссворды и цели урока
нет,,,,,289,smart оценка целей,закрыто smart-celi; остальное — корпоративное целеполагание
нет,,,,,288,определите средства достижения поставленной цели,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,288,стратегия достижение главной цели,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; маркетинговые стратегии"
нет,,,,,288,принимать гостей у себя,порнозапросы и юридические обязательства («принимать на себя расходы»)
нет,,,,,288,психология денег книга морган,"книга Моргана Хаузела «Психология денег»; «просить деньги у мужчины» закрыто finansovaya-zavisimost-ot-partnera (раздел «Почему просить так унизительно»), ссоры — dengi-v-otnosheniyah"
нет,,,,,288,достижения поставленных целей практики,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; дидактика и методы исследования"
нет,,,,,288,тест на тревожность и депрессию для подростков,шкалы и опросники — запрет ТЗ; плюс клиника у подростков
нет,,,,,288,структура возрастного кризиса,"вузовская периодизация: Выготский, Эльконин, сензитивные периоды, кризис новорождённости"
нет,,,,,286,дискриминация трудовой кодекс,"сборный мусор кластера: Трудовой кодекс, курсовые по социальным ролям, списки запрещённых книг"
нет,,,,,285,подружка моя как тебе не стыдно,частушки
нет,,,,,285,очарование женственности читать,книга Хелен Анделин «Очарование женственности» — навигационный запрос
нет,,,,,284,умение добиваться поставленной цели,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; школьные сочинения про героев"
нет,,,,,282,психологические особенности возрастного кризиса,вузовский конспект по возрастной психологии
да,Страшно оставаться одной дома: откуда страх и что с ним делать,strashno-odnoy-doma,Психология,/online,282,страх оставаться одной дома · фобия когда боишься остаться один · как называется фобия когда боишься остаться один · боюсь оставаться одна дома · страшно ночевать одной · боюсь быть одна в квартире · страшно засыпать одной · аутофобия,
нет,,,,,280,принял себя реального,порнохвост и история («Николай 2 принял на себя верховное главнокомандование»)
нет,,,,,280,принять маму в себе,"склейка «принять в себя»; отношения с матерью закрыты separatsiya-ot-materi, privyazannost-k-materi, ssora-s-mamoy"
нет,,,,,280,цель сельскохозяйственного техники,техника безопасности и цели урока
нет,,,,,279,достижение цели деятельности обусловлено как объективными,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,278,действия направленные на достижение цели называется,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,277,постоянная тревога на душе,"закрыто kak-spravitsya-s-trevogoy, prichiny-chuvstvo-trevogi, povyshennaya-trevozhnost-u-vzroslyh, lichnostnaya-trevozhnost"
нет,,,,,276,пути достижения финансовой цели,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god; финансовые цели предприятия"
нет,,,,,276,как полюбить себя любимую,"закрыто kak-prinyat-i-polyubit-sebya, kak-povysit-samoocenku, priznaki-nizkoy-samoocenki"
нет,,,,,276,почему умирают чувства,"закрыто pochemu-propadayut-chuvstva; хвост — соматика («почему чувство жжения», «пропало чувство голода»)"
нет,,,,,275,цель задания найди ошибку,детские игры-задания «найди отличия»
да,"Как пережить смерть питомца: горе, которое принято обесценивать",kak-perezhit-smert-pitomtsa,Психология,/artterapy,275,как пережить утрату питомца · как пережить смерть питомца · умер питомец как пережить · умер кот как пережить · умерла собака как пережить · горе по питомцу · как отпустить питомца · вина после усыпления питомца · как сказать ребенку о смерти питомца · сколько длится горе по животному,
нет,,,,,274,жизненные цели на 5 лет,"закрыто celi-na-god, zhiznennye-cennosti, koleso-balansa; хвост — примеры целей для резюме"
нет,,,,,274,как понять что пропали чувства,закрыто pochemu-propadayut-chuvstva и kak-otlichit-privyazannost
нет,,,,,273,система управления достижением целей предприятия,"канцелярит блока целей: менеджмент, госплан, методички и формулировки курсовых; живое закрыто dostizhenie-celi, planirovanie-celey, smart-celi, celi-na-god"
нет,,,,,273,цель на день в лагере,"цели дня в лагере и на 1 сентября; личное планирование закрыто planirovanie-celey, spisok-del, metod-pomodoro"
нет,,,,,273,франкл человек в поисках смысла 1990,книга Франкла плюс порнохвост и netflix app
нет,,,,,272,как избавиться от хронической усталости,"закрыто hronicheskaya-ustalost и kak-vosstanovit-resurs; хвост — анализы и «мужская сила», медицина"
